Precinct,Registered,Ahern Difference,Total Ahern,Ahern Percentage,Total Write-In,Write-in Percentage
200100,745,206,220,94,14,6
200200,699,218,226,97,8,3
200300,560,152,160,95,8,5
200600,625,166,176,95,10,5
200700,665,210,217,97,7,3
200800,627,203,215,95,12,5
201000,624,176,186,95,10,5
201100,678,204,219,94,15,6
201300,646,149,172,88,23,12
201400,658,184,199,93,15,7
201410,555,174,177,98,3,2
201500,622,136,147,93,11,7
201700,648,132,139,95,7,5
201710,822,56,68,85,12,15
201800,776,170,181,94,11,6
201900,604,118,128,93,10,7
202110,1039,199,217,92,18,8
202310,734,121,127,95,6,5
202500,663,39,42,93,3,7
202520,744,20,25,83,5,17
202540,843,46,51,91,5,9
202600,719,17,18,95,1,5
202620,556,10,18,69,8,31
202710,723,94,108,89,14,11
202900,606,173,183,95,10,5
203100,703,180,190,95,10,5
203200,568,192,194,99,2,1
203300,726,205,220,94,15,6
203400,636,208,217,96,9,4
203500,1186,232,249,94,17,6
203800,847,206,235,89,29,11
204000,259,48,52,93,4,7
204100,481,98,111,90,13,10
204210,805,93,99,94,6,6
204220,635,66,70,95,4,5
204230,585,138,149,93,11,7
204240,547,63,66,96,3,4
204300,757,158,174,92,16,8
204310,782,187,213,89,26,11
204510,752,140,150,94,10,6
204600,673,76,92,85,16,15
204900,595,39,47,85,8,15
204910,620,28,32,89,4,11
205000,668,234,243,96,9,4
205100,753,215,222,97,7,3
205200,830,230,247,94,17,6
205500,753,238,252,95,14,5
205600,1147,324,376,88,52,12
205700,838,253,270,94,17,6
205800,689,188,204,93,16,7
205900,739,237,250,95,13,5
206000,600,164,185,90,21,10
206100,739,223,234,96,11,4
206200,643,151,171,90,20,10
206300,709,156,176,90,20,10
206400,702,181,200,91,19,9
206600,836,172,185,93,13,7
206900,416,94,97,97,3,3
207000,828,184,211,89,27,11
207010,791,205,221,93,16,7
207100,328,110,114,97,4,3
207200,600,177,190,94,13,6
207300,571,124,144,88,20,12
207500,863,215,234,92,19,8
207600,801,83,90,93,7,7
207700,1292,204,219,94,15,6
208000,603,116,131,90,15,10
208010,1051,263,290,91,27,9
208100,626,136,162,86,26,14
208110,621,128,154,86,26,14
208200,676,151,168,91,17,9
208210,761,158,176,91,18,9
208300,939,190,219,88,29,12
208310,828,184,201,92,17,8
208400,900,200,221,91,21,9
208500,793,152,171,90,19,10
208510,967,199,226,89,27,11
208600,744,149,184,84,35,16
208610,881,174,199,89,25,11
208650,378,79,89,90,10,10
208700,996,191,237,84,46,16
208800,1104,133,172,82,39,18
208810,979,199,220,91,21,9
208900,958,172,187,93,15,7
208910,841,152,165,93,13,7
208920,536,77,94,85,17,15
209000,810,246,262,94,16,6
209010,893,202,219,93,17,7
209100,789,189,207,92,18,8
209110,721,216,239,91,23,9
209200,1097,268,286,94,18,6
209300,1216,246,290,87,44,13
209310,1214,359,380,95,21,5
209400,939,250,288,88,38,12
209410,559,172,184,94,12,6
209510,1034,260,298,89,38,11
209600,875,206,218,95,12,5
209610,702,136,153,90,17,10
209700,933,203,222,92,19,8
209710,987,218,232,94,14,6
209800,849,197,211,94,14,6
209900,1002,237,250,95,13,5
213100,1024,345,356,97,11,3
213300,1283,463,465,100,2,0
213400,612,204,212,96,8,4
213500,1307,426,435,98,9,2
213600,864,261,272,96,11,4
213700,716,226,237,96,11,4
213800,1053,370,375,99,5,1
213900,590,180,188,96,8,4
214100,814,273,283,97,10,3
214200,1107,372,380,98,8,2
214400,1369,443,460,96,17,4
214500,663,232,245,95,13,5
214600,1034,306,323,95,17,5
214800,1108,307,326,94,19,6
215100,1083,282,303,94,21,6
215120,1138,295,326,91,31,9
215200,735,201,218,93,17,7
215300,1037,326,340,96,14,4
215500,853,255,277,93,22,7
215610,1380,291,339,88,48,12
215700,964,191,223,87,32,13
215800,852,142,173,85,31,15
215900,580,105,115,92,10,8
223000,699,205,213,96,8,4
223010,938,234,256,92,22,8
223200,1372,387,411,94,24,6
223300,933,276,302,92,26,8
223400,691,249,259,96,10,4
224000,1064,346,361,96,15,4
224200,1303,412,430,96,18,4
224400,538,138,148,94,10,6
224500,1478,417,441,95,24,5
224600,896,283,303,94,20,6
224700,1081,281,307,92,26,8
224800,499,141,151,94,10,6
225000,526,139,149,94,10,6
225100,833,194,216,91,22,9
225200,647,145,160,91,15,9
225400,1315,369,396,94,27,6
225600,750,206,229,91,23,9
225700,974,278,303,92,25,8
225710,1019,277,294,95,17,5
225810,688,157,176,90,19,10
225900,856,275,288,96,13,4
225910,1306,351,371,95,20,5
226100,721,284,294,97,10,3
226200,1029,319,341,94,22,6
226300,777,268,277,97,9,3
226400,676,244,253,97,9,3
244000,837,307,317,97,10,3
244100,1208,376,389,97,13,3
244200,777,240,249,97,9,3
244300,1192,412,421,98,9,2
244400,931,303,311,97,8,3
244500,788,271,284,96,13,4
244600,644,196,202,97,6,3
244700,942,301,307,98,6,2
244800,815,284,290,98,6,2
244900,581,198,206,96,8,4
245000,790,268,277,97,9,3
245100,792,261,281,93,20,7
245200,1312,480,494,97,14,3
260100,879,149,167,90,18,10
260300,1200,291,307,95,16,5
260400,722,179,195,92,16,8
260610,787,206,210,98,4,2
260800,816,214,222,97,8,3
260900,854,274,282,97,8,3
261000,891,300,306,98,6,2
261300,950,275,288,96,13,4
261400,707,194,207,94,13,6
261600,872,221,252,89,31,11
261700,714,216,225,96,9,4
262000,907,277,303,92,26,8
262100,756,250,257,97,7,3
280100,1626,538,549,98,11,2
280500,1499,471,484,97,13,3
280700,1641,517,531,97,14,3
281000,1411,453,463,98,10,2
281300,1161,364,374,97,10,3
281600,1135,339,350,97,11,3
300000,1415,362,370,98,8,2
300100,1220,468,474,99,6,1
300110,881,273,277,99,4,1
300120,1456,458,468,98,10,2
300140,1249,338,342,99,4,1
300150,993,290,297,98,7,2
300170,618,182,186,98,4,2
300180,777,211,220,96,9,4
300210,817,267,274,98,7,2
300300,787,234,245,96,11,4
300400,1414,444,460,97,16,3
301100,734,247,262,95,15,5
301200,769,227,240,95,13,5
301400,1494,472,495,96,23,4
301520,1527,364,388,94,24,6
301800,993,264,283,94,19,6
301900,974,243,253,96,10,4
302000,994,305,312,98,7,2
302100,760,167,183,92,16,8
302200,1417,484,502,97,18,3
302400,813,180,188,96,8,4
302500,1427,343,368,94,25,6
302510,869,195,214,92,19,8
302700,942,206,217,95,11,5
303000,848,221,240,93,19,7
303300,1181,328,337,97,9,3
303400,708,257,265,97,8,3
303500,788,216,227,95,11,5
303600,1485,397,412,96,15,4
303800,1065,284,293,97,9,3
304000,895,294,314,94,20,6
304120,1459,382,399,96,17,4
304200,701,243,256,95,13,5
304500,872,192,212,91,20,9
304600,1041,277,289,96,12,4
304700,848,199,209,95,10,5
304800,1004,244,250,98,6,2
304900,784,207,216,96,9,4
305000,736,164,173,95,9,5
305010,1277,406,418,97,12,3
305100,1249,271,279,97,8,3
305400,834,222,239,93,17,7
305410,746,216,224,97,8,3
305500,1183,217,232,94,15,6
305600,1153,265,279,95,14,5
305700,952,288,305,95,17,5
310000,1088,227,252,91,25,9
310100,1001,167,194,88,27,12
310200,943,191,212,91,21,9
310300,838,178,199,90,21,10
310400,931,182,202,91,20,9
310500,772,160,179,90,19,10
310600,887,180,206,89,26,11
310700,1419,273,316,88,43,12
310900,1417,321,358,91,37,9
311100,1356,316,365,88,49,12
311200,1273,305,326,94,21,6
311400,965,163,188,88,25,12
311500,1618,310,348,90,38,10
311700,1670,256,291,89,35,11
323000,804,208,228,92,20,8
323200,1083,239,259,93,20,7
325100,1142,248,267,93,19,7
325110,760,210,228,93,18,7
325200,1025,248,273,92,25,8
325300,1322,364,384,95,20,5
325400,753,204,219,94,15,6
325500,853,225,250,91,25,9
325510,1470,394,424,93,30,7
325600,774,231,242,96,11,4
325700,1381,317,345,92,28,8
325800,1384,366,390,94,24,6
333100,1065,226,245,93,19,7
333200,1153,303,320,95,17,5
333210,611,142,156,92,14,8
333400,827,154,171,91,17,9
333410,1377,346,362,96,16,4
333500,1224,288,309,94,21,6
333510,1344,316,350,91,34,9
333600,397,98,105,94,7,6
333800,1193,235,268,89,33,11
333900,913,157,167,94,10,6
334000,1165,157,181,88,24,12
334100,1424,206,243,87,37,13
334600,1720,355,378,94,23,6
334700,680,104,112,93,8,7
335000,1530,253,286,90,33,10
335100,1428,177,206,88,29,12
335200,766,104,114,92,10,8
335300,1152,175,209,86,34,14
335400,1654,188,241,82,53,18
335500,669,105,120,89,15,11
335700,1215,270,290,94,20,6
335710,939,220,240,92,20,8
335810,780,144,160,91,16,9
335900,867,135,149,91,14,9
336100,1048,173,195,90,22,10
336110,797,196,210,94,14,6
336200,1290,170,197,88,27,12
336400,878,128,151,87,23,13
336500,922,136,151,91,15,9
336600,1550,232,249,94,17,6
336610,889,127,132,96,5,4
336710,1722,249,286,89,37,11
336900,878,215,229,94,14,6
336910,548,162,175,93,13,7
337000,903,189,196,97,7,3
337100,438,56,67,86,11,14
337110,538,106,108,98,2,2
337200,520,95,103,93,8,7
344000,987,188,196,96,8,4
344010,793,102,120,87,18,13
344100,670,124,141,89,17,11
344200,1243,274,295,93,21,7
344400,941,318,328,97,10,3
344500,1462,392,414,95,22,5
344600,809,208,236,89,28,11
344700,602,192,203,95,11,5
344800,655,235,244,96,9,4
344900,891,233,242,96,9,4
345000,876,225,237,95,12,5
345100,1067,219,241,92,22,8
345200,1285,341,369,93,28,7
345310,987,258,276,94,18,6
345400,974,294,307,96,13,4
345500,746,203,214,95,11,5
345600,758,227,236,96,9,4
345700,816,241,253,95,12,5
345900,1201,417,428,97,11,3
346000,486,92,103,90,11,10
346100,939,197,217,92,20,8
346200,1313,224,249,91,25,9
347110,546,61,67,92,6,8
347200,1334,245,264,93,19,7
347300,1056,243,262,93,19,7
353300,591,111,124,91,13,9
353310,1265,228,264,88,36,12
353400,921,237,249,95,12,5
353500,1046,241,257,94,16,6
353600,891,161,180,90,19,10
353800,606,129,141,92,12,8
353900,1304,190,210,91,20,9
354000,1482,251,264,95,13,5
354100,1623,326,353,93,27,7
354110,687,174,180,97,6,3
354300,1463,239,264,91,25,9
354400,1019,154,169,92,15,8
354500,1703,256,287,90,31,10
354700,1061,179,194,93,15,7
354900,770,124,138,91,14,9
354910,943,183,189,97,6,3
355000,802,137,156,89,19,11
355100,1244,227,245,93,18,7
356000,1103,212,234,91,22,9
356200,1178,173,186,93,13,7
356210,1131,205,212,97,7,3
356400,584,82,92,90,10,10
356500,1414,245,269,92,24,8
361000,1054,145,156,93,11,7
361130,622,91,98,93,7,7
361200,1220,151,168,91,17,9
361300,655,83,89,94,6,6
361500,1210,170,179,95,9,5
362100,719,139,152,92,13,8
362110,1368,200,214,94,14,6
362300,958,161,168,96,7,4
362500,481,52,60,88,8,12
362510,1026,206,217,95,11,5
362600,995,262,278,95,16,5
362700,1073,293,307,96,14,4
362800,900,276,288,96,12,4
362900,843,176,190,93,14,7
363000,1367,232,243,96,11,4
363100,1356,236,254,93,18,7
363200,735,109,117,94,8,6
363310,1575,263,274,96,11,4
363600,1505,227,240,95,13,5
364200,1243,439,452,97,13,3
364310,1336,392,409,96,17,4
364400,1359,379,397,96,18,4
364510,851,306,316,97,10,3
364600,1130,301,325,93,24,7
364700,982,238,255,94,17,6
364800,814,141,151,94,10,6
364900,1450,421,444,95,23,5
365000,692,133,147,91,14,9
365200,1250,227,246,93,19,7
373100,798,144,151,96,7,4
373400,1696,233,241,97,8,3
373500,995,139,148,94,9,6
373900,1216,166,177,94,11,6
380200,1428,289,305,95,16,5
380300,1462,352,371,95,19,5
380400,1329,352,372,95,20,5
380600,1075,316,327,97,11,3
380700,1167,243,251,97,8,3
400100,709,228,241,95,13,5
400200,802,277,282,98,5,2
400300,835,310,320,97,10,3
400500,1171,357,375,95,18,5
400600,723,246,256,96,10,4
400700,792,247,252,98,5,2
400800,804,175,183,96,8,4
400900,1381,404,422,96,18,4
401100,1385,375,382,98,7,2
410100,1707,240,251,96,11,4
410300,1383,207,216,96,9,4
410400,1665,336,349,96,13,4
410500,819,127,134,95,7,5
410600,1037,229,239,96,10,4
415000,1061,134,149,91,15,9
415200,729,100,106,95,6,5
415300,1190,235,244,96,9,4
415500,936,149,155,96,6,4
415600,975,143,152,94,9,6
415800,855,121,124,98,3,2
415900,572,119,125,95,6,5
420500,984,173,178,97,5,3
420600,1494,330,343,96,13,4
420700,963,194,209,93,15,7
420900,722,158,160,99,2,1
421000,546,108,112,97,4,3
421100,956,215,218,99,3,1
421200,707,174,177,98,3,2
421300,835,165,169,98,4,2
421400,1290,213,223,96,10,4
421510,1052,191,195,98,4,2
421700,1534,373,385,97,12,3
421900,1395,191,200,96,9,4
422000,1162,291,296,98,5,2
422100,1312,305,313,98,8,2
422300,1533,310,324,96,14,4
422600,1769,317,323,98,6,2
422700,1242,279,286,98,7,2
422810,1032,210,221,95,11,5
422900,1251,258,263,98,5,2
422910,1530,327,336,97,9,3
422920,1139,188,192,98,4,2
423000,1029,166,174,96,8,4
423100,1015,188,199,95,11,5
423400,838,150,157,96,7,4
423500,636,150,151,99,1,1
423600,666,181,189,96,8,4
423610,1603,322,330,98,8,2
423710,1086,211,217,97,6,3
424000,1530,318,328,97,10,3
424100,717,175,182,96,7,4
424300,1549,326,332,98,6,2
424400,1247,303,315,96,12,4
430170,1386,273,282,97,9,3
430400,442,86,91,95,5,5
430600,1257,242,261,93,19,7
430700,780,166,172,97,6,3
430900,729,136,145,94,9,6
431100,1155,258,265,97,7,3
431800,1254,275,278,99,3,1
432010,1747,305,326,94,21,6
432110,1429,243,247,98,4,2
432200,1019,181,191,95,10,5
432300,1423,288,302,96,14,4
432400,1191,194,208,94,14,6
432600,832,182,189,96,7,4
432700,1484,269,275,98,6,2
432810,955,152,155,98,3,2
432900,1110,254,258,98,4,2
433100,1176,222,233,95,11,5
433200,829,157,163,96,6,4
433400,1224,342,348,98,6,2
433500,627,131,136,96,5,4
433610,1326,347,355,98,8,2
433700,1311,299,310,97,11,3
433900,458,173,174,99,1,1
440100,1262,317,326,97,9,3
440300,1535,347,359,97,12,3
440400,1676,426,437,98,11,2
440610,1463,338,344,98,6,2
440800,678,158,160,99,2,1
440900,1123,241,245,98,4,2
441100,1711,416,426,98,10,2
441300,821,190,204,94,14,6
441400,1036,226,236,96,10,4
442100,1740,404,410,99,6,1
442600,636,143,146,98,3,2
442700,990,186,194,96,8,4
443000,1080,203,214,95,11,5
443100,1064,204,212,96,8,4
443200,796,110,119,93,9,7
443300,961,153,160,96,7,4
443400,1317,238,248,96,10,4
443500,931,157,163,96,6,4
447200,1617,360,373,97,13,3
447600,922,213,222,96,9,4
450300,971,247,252,98,5,2
450400,1680,369,379,97,10,3
450610,939,280,287,98,7,2
450800,1078,227,233,97,6,3
451000,1444,334,341,98,7,2
451510,1328,256,266,96,10,4
451600,1231,300,308,97,8,3
451700,1003,248,253,98,5,2
452100,1192,241,253,95,12,5
452200,1646,403,412,98,9,2
452400,1091,229,239,96,10,4
452500,823,169,173,98,4,2
453100,1026,282,291,97,9,3
453300,732,154,158,98,4,2
453400,1006,209,213,98,4,2
453500,1360,293,302,97,9,3
453900,1291,287,303,95,16,5
453920,851,122,125,98,3,2
454100,1095,235,242,97,7,3
454500,886,217,227,96,10,4
455000,579,96,98,98,2,2
455100,752,139,147,95,8,5
455300,943,221,230,96,9,4
455400,994,237,248,96,11,4
455500,580,153,159,96,6,4
455700,535,184,187,98,3,2
455900,1607,384,400,96,16,4
456200,1063,256,263,97,7,3
456500,725,246,255,97,9,3
456600,1075,317,331,96,14,4
456900,683,243,252,97,9,3
457100,817,234,242,97,8,3
457300,949,256,268,96,12,4
457400,771,236,260,92,24,8
457500,1249,333,357,94,24,6
457700,928,275,289,95,14,5
457900,803,194,204,95,10,5
458200,1094,258,271,95,13,5
458300,1292,310,319,97,9,3
458500,786,187,193,97,6,3
458800,1047,167,177,95,10,5
458900,728,130,134,97,4,3
470400,1205,325,337,97,12,3
470600,915,272,276,99,4,1
470900,1237,303,309,98,6,2
471300,908,228,234,98,6,3
471800,898,237,248,96,11,4
471900,944,258,267,97,9,3
472000,1152,365,375,97,10,3
